ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,CBW,CBL,IWW,IWL,SBW,SBL,B&WW,B&WL
28,Rome,Telecom Italia Masters Roma,05/05/03,Masters,Outdoor,Clay,1st Round,3,Stepanek R.,Blake J.,57,22,6,2,1,6,6,3,,,,,2,1,Completed,2.625,1.444,2.5,1.5,2.2,1.45,,,2.16,1.49
28,Rome,Telecom Italia Masters Roma,05/05/03,Masters,Outdoor,Clay,1st Round,3,Schuettler R.,Norman M.,13,83,7,6,7,5,,,,,,,2,0,Completed,1.8,1.909,1.85,1.9,1.7,1.8,1.833,1.833,,
28,Rome,Telecom Italia Masters Roma,05/05/03,Masters,Outdoor,Clay,1st Round,3,Roddick A.,Gaudenzi A.,6,136,6,2,6,3,,,,,,,2,0,Completed,1.167,4.5,1.18,4.5,1.1,4.5,1.125,5.5,1.07,5.4
28,Rome,Telecom Italia Masters Roma,06/05/03,Masters,Outdoor,Clay,1st Round,3,Nieminen J.,Srichaphan P.,35,10,6,1,6,2,,,,,,,2,0,Completed,1.4,2.75,1.38,2.9,1.35,2.5,1.364,2.875,1.3,2.85
28,Rome,Telecom Italia Masters Roma,06/05/03,Masters,Outdoor,Clay,1st Round,3,Corretja A.,Portas A.,17,88,3,6,6,2,6,2,,,,,2,1,Completed,1.44,2.62,1.57,2.3,1.45,2.2,,,1.37,2.45
28,Rome,Telecom Italia Masters Roma,06/05/03,Masters,Outdoor,Clay,1st Round,3,Chela J.I.,Rochus O.,33,63,6,1,6,1,,,,,,,2,0,Completed,1.25,3.75,1.22,3.95,1.2,3.3,1.2,4,1.23,3.2
28,Rome,Telecom Italia Masters Roma,06/05/03,Masters,Outdoor,Clay,1st Round,3,Zabaleta M.,Sanchez D.,39,51,6,4,6,2,,,,,,,2,0,Completed,1.727,2,1.8,1.95,1.75,1.75,,,1.57,1.98
28,Rome,Telecom Italia Masters Roma,06/05/03,Masters,Outdoor,Clay,1st Round,3,Federer R.,Mathieu P.,5,43,6,3,7,5,,,,,,,2,0,Completed,1.143,5,1.14,5.25,1.1,4.5,1.083,6.5,1.08,5
28,Rome,Telecom Italia Masters Roma,06/05/03,Masters,Outdoor,Clay,1st Round,3,Calleri A.,Koubek S.,29,59,6,2,6,2,,,,,,,2,0,Completed,1.333,3.25,1.3,3.3,1.3,2.7,1.333,3,1.33,2.7
28,Rome,Telecom Italia Masters Roma,06/05/03,Masters,Outdoor,Clay,1st Round,3,Davydenko N.,Kucera K.,41,49,2,6,6,1,7,5,,,,,2,1,Completed,1.364,3,1.3,3.35,1.3,2.7,1.364,2.875,1.25,3.1
28,Rome,Telecom Italia Masters Roma,06/05/03,Masters,Outdoor,Clay,1st Round,3,Robredo T.,Grosjean S.,19,14,6,7,6,4,6,3,,,,,2,1,Completed,1.833,1.833,1.6,2.25,1.6,1.9,1.615,2.2,1.75,1.75
28,Rome,Telecom Italia Masters Roma,06/05/03,Masters,Outdoor,Clay,1st Round,3,Gaudio G.,Kuerten G.,34,15,6,3,2,6,6,4,,,,,2,1,Completed,2.1,1.667,2,1.75,1.85,1.65,2.1,1.667,1.95,1.6
28,Rome,Telecom Italia Masters Roma,06/05/03,Masters,Outdoor,Clay,1st Round,3,Mirnyi M.,Lapentti N.,32,44,4,6,7,6,6,3,,,,,2,1,Completed,1.8,1.909,1.72,2.05,1.65,1.85,1.727,2,1.64,1.91
28,Rome,Telecom Italia Masters Roma,06/05/03,Masters,Outdoor,Clay,1st Round,3,Sluiter R.,Gambill J.M.,65,40,6,4,4,6,6,2,,,,,2,1,Completed,2.1,1.667,2,1.75,1.75,1.75,1.833,1.833,1.88,1.66
28,Rome,Telecom Italia Masters Roma,06/05/03,Masters,Outdoor,Clay,1st Round,3,Ferrero J.C.,Philippoussis M.,3,62,7,6,6,4,,,,,,,2,0,Completed,1.125,5.5,1.16,5,1.1,4.5,1.1,6,1.09,4.7
28,Rome,Telecom Italia Masters Roma,06/05/03,Masters,Outdoor,Clay,1st Round,3,Moya C.,Vicente F.,4,50,6,2,6,4,,,,,,,2,0,Completed,1.111,6,1.14,5,1.15,3.8,1.083,6.5,1.09,4.7
28,Rome,Telecom Italia Masters Roma,06/05/03,Masters,Outdoor,Clay,1st Round,3,Galimberti G.,Vahaly B.,115,73,7,5,4,6,6,3,,,,,2,1,Completed,1.571,2.25,1.53,2.4,1.6,1.9,1.571,2.25,1.47,2.18
28,Rome,Telecom Italia Masters Roma,06/05/03,Masters,Outdoor,Clay,1st Round,3,Kafelnikov Y.,El Aynaoui Y.,24,23,6,1,1,6,6,4,,,,,2,1,Completed,,,,,1.9,1.6,1.364,2.875,2.17,1.48
28,Rome,Telecom Italia Masters Roma,06/05/03,Masters,Outdoor,Clay,1st Round,3,Volandri F.,Massu N.,100,82,1,6,6,2,6,1,,,,,2,1,Completed,,,,,2,1.55,2.1,1.667,1.85,1.67
28,Rome,Telecom Italia Masters Roma,07/05/03,Masters,Outdoor,Clay,2nd Round,3,Federer R.,Zabaleta M.,5,39,7,6,6,2,,,,,,,2,0,Completed,1.25,3.75,1.25,3.7,1.2,3.3,1.2,4,1.17,3.7
28,Rome,Telecom Italia Masters Roma,07/05/03,Masters,Outdoor,Clay,2nd Round,3,Stepanek R.,Martin A.,57,66,6,4,6,3,,,,,,,2,0,Completed,2.1,1.667,1.95,1.8,1.9,1.6,1.833,1.833,1.9,1.65
28,Rome,Telecom Italia Masters Roma,07/05/03,Masters,Outdoor,Clay,2nd Round,3,Novak J.,Hrbaty D.,9,58,6,1,6,4,,,,,,,2,0,Completed,1.533,2.375,1.6,2.25,1.55,2,1.571,2.25,1.44,2.26
28,Rome,Telecom Italia Masters Roma,07/05/03,Masters,Outdoor,Clay,2nd Round,3,Schuettler R.,Ferreira W.,13,27,7,6,6,2,,,,,,,2,0,Completed,1.727,2,1.85,1.9,1.6,1.9,1.727,2,1.6,1.95
28,Rome,Telecom Italia Masters Roma,07/05/03,Masters,Outdoor,Clay,2nd Round,3,Mantilla F.,Fish M.,47,53,6,4,6,3,,,,,,,2,0,Completed,1.333,3.25,1.28,3.5,1.25,3,1.333,3,1.27,3
28,Rome,Telecom Italia Masters Roma,07/05/03,Masters,Outdoor,Clay,2nd Round,3,Gaudio G.,Calleri A.,34,29,6,4,6,2,,,,,,,2,0,Completed,1.727,2,1.68,2.1,1.6,1.9,1.667,2.1,1.56,2
28,Rome,Telecom Italia Masters Roma,07/05/03,Masters,Outdoor,Clay,2nd Round,3,Robredo T.,Chela J.I.,19,33,6,2,6,0,,,,,,,2,0,Completed,1.833,1.833,2.05,1.72,1.9,1.6,2,1.727,1.97,1.58
28,Rome,Telecom Italia Masters Roma,07/05/03,Masters,Outdoor,Clay,2nd Round,3,Kafelnikov Y.,Galimberti G.,24,115,7,5,6,1,,,,,,,2,0,Completed,1.4,2.75,1.36,3,1.3,2.7,1.364,2.875,1.29,2.87
28,Rome,Telecom Italia Masters Roma,07/05/03,Masters,Outdoor,Clay,2nd Round,3,Ljubicic I.,Ferrer D.,46,60,6,2,6,3,,,,,,,2,0,Completed,1.571,2.25,1.6,2.25,1.55,2,1.5,2.5,1.46,2.2
28,Rome,Telecom Italia Masters Roma,07/05/03,Masters,Outdoor,Clay,2nd Round,3,Verkerk M.,Roddick A.,68,6,6,7,6,3,6,4,,,,,2,1,Completed,4,1.222,3.7,1.25,3.8,1.15,3.5,1.25,4.05,1.14
28,Rome,Telecom Italia Masters Roma,07/05/03,Masters,Outdoor,Clay,2nd Round,3,Coria G.,Hanescu V.,16,132,6,1,7,6,,,,,,,2,0,Completed,1.167,4.5,1.18,4.5,1.1,4.5,1.143,5,1.06,5.75
28,Rome,Telecom Italia Masters Roma,07/05/03,Masters,Outdoor,Clay,2nd Round,3,Costa A.,Clement A.,8,36,6,7,6,2,6,4,,,,,2,1,Completed,1.286,3.5,1.28,3.5,1.25,3,1.222,3.75,1.19,3.47
28,Rome,Telecom Italia Masters Roma,07/05/03,Masters,Outdoor,Clay,2nd Round,3,Nieminen J.,Davydenko N.,35,41,7,5,4,6,6,1,,,,,2,1,Completed,1.571,2.25,1.6,2.25,1.55,2,1.533,2.375,1.5,2.15
28,Rome,Telecom Italia Masters Roma,07/05/03,Masters,Outdoor,Clay,2nd Round,3,Ferrero J.C.,Corretja A.,3,17,6,4,6,4,,,,,,,2,0,Completed,1.222,4,1.25,3.7,1.25,3,1.2,4,1.16,3.85
28,Rome,Telecom Italia Masters Roma,07/05/03,Masters,Outdoor,Clay,2nd Round,3,Volandri F.,Sluiter R.,100,65,6,1,7,5,,,,,,,2,0,Completed,1.4,2.75,1.33,3.15,1.3,2.7,1.364,2.875,1.3,2.85
28,Rome,Telecom Italia Masters Roma,07/05/03,Masters,Outdoor,Clay,2nd Round,3,Moya C.,Mirnyi M.,4,32,6,4,6,4,,,,,,,2,0,Completed,1.2,4.333,1.18,4.5,1.1,4.5,1.222,3.75,1.17,3.7
28,Rome,Telecom Italia Masters Roma,08/05/03,Masters,Outdoor,Clay,3rd Round,3,Schuettler R.,Novak J.,13,9,6,4,7,6,,,,,,,2,0,Completed,2.375,1.533,2.55,1.48,2.2,1.45,2.5,1.5,2.2,1.46
28,Rome,Telecom Italia Masters Roma,08/05/03,Masters,Outdoor,Clay,3rd Round,3,Federer R.,Robredo T.,5,19,6,1,6,1,,,,,,,2,0,Completed,1.4,2.75,1.42,2.75,1.35,2.5,1.333,3,,
28,Rome,Telecom Italia Masters Roma,08/05/03,Masters,Outdoor,Clay,3rd Round,3,Volandri F.,Stepanek R.,100,57,6,3,6,4,,,,,,,2,0,Completed,1.83,1.83,,,1.75,1.75,1.9,1.8,,
28,Rome,Telecom Italia Masters Roma,08/05/03,Masters,Outdoor,Clay,3rd Round,3,Ljubicic I.,Coria G.,46,16,6,4,6,3,,,,,,,2,0,Completed,3,1.364,3.35,1.3,3,1.25,2.75,1.4,3.1,1.25
28,Rome,Telecom Italia Masters Roma,08/05/03,Masters,Outdoor,Clay,3rd Round,3,Kafelnikov Y.,Moya C.,24,4,6,4,7,6,,,,,,,2,0,Completed,4.5,1.167,4.5,1.18,3.8,1.15,4.5,1.167,3.5,1.18
28,Rome,Telecom Italia Masters Roma,08/05/03,Masters,Outdoor,Clay,3rd Round,3,Verkerk M.,Nieminen J.,68,35,6,0,6,3,,,,,,,2,0,Completed,2.625,1.444,2.75,1.42,2.3,1.4,2.625,1.444,2.75,1.32
28,Rome,Telecom Italia Masters Roma,08/05/03,Masters,Outdoor,Clay,3rd Round,3,Mantilla F.,Costa A.,47,8,7,5,4,6,6,1,,,,,2,1,Completed,2,1.727,1.9,1.85,1.85,1.65,2,1.727,1.75,1.75
28,Rome,Telecom Italia Masters Roma,08/05/03,Masters,Outdoor,Clay,3rd Round,3,Ferrero J.C.,Gaudio G.,3,34,5,7,6,0,6,2,,,,,2,1,Completed,1.5,2.5,1.5,2.5,1.45,2.2,1.533,2.375,1.35,2.6
28,Rome,Telecom Italia Masters Roma,09/05/03,Masters,Outdoor,Clay,Quarterfinals,3,Kafelnikov Y.,Verkerk M.,24,68,6,3,7,5,,,,,,,2,0,Completed,1.615,2.2,1.7,2.1,1.55,2,1.727,2,,
28,Rome,Telecom Italia Masters Roma,09/05/03,Masters,Outdoor,Clay,Quarterfinals,3,Federer R.,Volandri F.,5,100,6,3,5,7,6,2,,,,,2,1,Completed,,,1.2,4.25,1.15,3.8,1.125,5.5,1.09,4.7
28,Rome,Telecom Italia Masters Roma,09/05/03,Masters,Outdoor,Clay,Quarterfinals,3,Ferrero J.C.,Schuettler R.,3,13,6,4,6,4,,,,,,,2,0,Completed,1.167,4.5,1.16,4.75,1.15,3.8,1.143,5,1.15,4
28,Rome,Telecom Italia Masters Roma,09/05/03,Masters,Outdoor,Clay,Quarterfinals,3,Mantilla F.,Ljubicic I.,47,46,3,6,6,3,6,4,,,,,2,1,Completed,1.615,2.2,1.72,2.05,1.75,1.75,1.667,2.1,1.68,1.83
28,Rome,Telecom Italia Masters Roma,10/05/03,Masters,Outdoor,Clay,Semifinals,3,Federer R.,Ferrero J.C.,5,3,6,2,4,2,,,,,,,1,0,Retired,2.25,1.571,2.15,1.68,2,1.55,2.1,1.667,1.95,1.6
28,Rome,Telecom Italia Masters Roma,10/05/03,Masters,Outdoor,Clay,Semifinals,3,Mantilla F.,Kafelnikov Y.,47,24,4,6,7,6,6,4,,,,,2,1,Completed,1.83,1.83,1.8,1.98,1.75,1.75,1.7,2.05,1.95,1.65
28,Rome,Telecom Italia Masters Roma,11/05/03,Masters,Outdoor,Clay,The Final,5,Mantilla F.,Federer R.,47,5,7,5,6,2,7,6,,,,,3,0,Completed,3.25,1.333,3.3,1.33,3,1.25,3.25,1.286,3.3,1.22
